date,timestamp,Ontario_Demand,Market_Demand
2025-01-01,2025-01-01 01:00:00.000000,13887,17247
2025-01-01,2025-01-01 02:00:00.000000,13722,17355
2025-01-01,2025-01-01 03:00:00.000000,13688,17638
2025-01-01,2025-01-01 04:00:00.000000,13613,17065
2025-01-01,2025-01-01 05:00:00.000000,13593,17498
2025-01-01,2025-01-01 06:00:00.000000,13674,17379
2025-01-01,2025-01-01 07:00:00.000000,13957,17627
2025-01-01,2025-01-01 08:00:00.000000,14315,18136
2025-01-01,2025-01-01 09:00:00.000000,14604,18173
2025-01-01,2025-01-01 10:00:00.000000,15056,18182
2025-01-01,2025-01-01 11:00:00.000000,15521,18121
2025-01-01,2025-01-01 12:00:00.000000,15800,18156
2025-01-01,2025-01-01 13:00:00.000000,15941,18432
2025-01-01,2025-01-01 14:00:00.000000,15977,18674
2025-01-01,2025-01-01 15:00:00.000000,16066,19116
2025-01-01,2025-01-01 16:00:00.000000,16321,19592
2025-01-01,2025-01-01 17:00:00.000000,17058,20346
2025-01-01,2025-01-01 18:00:00.000000,17519,20276
2025-01-01,2025-01-01 19:00:00.000000,17454,20762
2025-01-01,2025-01-01 20:00:00.000000,17131,20519
2025-01-01,2025-01-01 21:00:00.000000,16701,20147
2025-01-01,2025-01-01 22:00:00.000000,16159,19572
2025-01-01,2025-01-01 23:00:00.000000,15410,19304
2025-01-01,2025-01-02 00:00:00.000000,14772,18292
2025-01-02,2025-01-02 01:00:00.000000,14209,17887
2025-01-02,2025-01-02 02:00:00.000000,14045,18015
2025-01-02,2025-01-02 03:00:00.000000,13934,17930
2025-01-02,2025-01-02 04:00:00.000000,13903,17965
2025-01-02,2025-01-02 05:00:00.000000,14059,18137
2025-01-02,2025-01-02 06:00:00.000000,14501,18709
2025-01-02,2025-01-02 07:00:00.000000,15408,19397
2025-01-02,2025-01-02 08:00:00.000000,16521,20508
2025-01-02,2025-01-02 09:00:00.000000,16931,20949
2025-01-02,2025-01-02 10:00:00.000000,17278,21069
2025-01-02,2025-01-02 11:00:00.000000,17375,21129
2025-01-02,2025-01-02 12:00:00.000000,17486,21156
2025-01-02,2025-01-02 13:00:00.000000,17689,20989
2025-01-02,2025-01-02 14:00:00.000000,17817,21194
2025-01-02,2025-01-02 15:00:00.000000,17851,21251
2025-01-02,2025-01-02 16:00:00.000000,18167,21424
2025-01-02,2025-01-02 17:00:00.000000,18780,21999
2025-01-02,2025-01-02 18:00:00.000000,19450,22929
2025-01-02,2025-01-02 19:00:00.000000,19226,22631
2025-01-02,2025-01-02 20:00:00.000000,18901,22143
2025-01-02,2025-01-02 21:00:00.000000,18759,22271
2025-01-02,2025-01-02 22:00:00.000000,18062,21798
2025-01-02,2025-01-02 23:00:00.000000,16965,20202
2025-01-02,2025-01-03 00:00:00.000000,16192,19734
2025-01-03,2025-01-03 01:00:00.000000,15535,18592
2025-01-03,2025-01-03 02:00:00.000000,15434,18472
2025-01-03,2025-01-03 03:00:00.000000,15284,18432
2025-01-03,2025-01-03 04:00:00.000000,15294,18187
2025-01-03,2025-01-03 05:00:00.000000,15521,18540
2025-01-03,2025-01-03 06:00:00.000000,16013,19244
2025-01-03,2025-01-03 07:00:00.000000,16916,19661
2025-01-03,2025-01-03 08:00:00.000000,17674,20878
2025-01-03,2025-01-03 09:00:00.000000,18179,21390
2025-01-03,2025-01-03 10:00:00.000000,18431,21876
2025-01-03,2025-01-03 11:00:00.000000,18185,21615
2025-01-03,2025-01-03 12:00:00.000000,18059,21676
2025-01-03,2025-01-03 13:00:00.000000,17940,21451
2025-01-03,2025-01-03 14:00:00.000000,17771,21223
2025-01-03,2025-01-03 15:00:00.000000,17719,20877
2025-01-03,2025-01-03 16:00:00.000000,18062,21129
2025-01-03,2025-01-03 17:00:00.000000,18857,21903
2025-01-03,2025-01-03 18:00:00.000000,19616,23086
2025-01-03,2025-01-03 19:00:00.000000,19462,22824
2025-01-03,2025-01-03 20:00:00.000000,19223,22888
2025-01-03,2025-01-03 21:00:00.000000,18973,22525
2025-01-03,2025-01-03 22:00:00.000000,18326,21716
2025-01-03,2025-01-03 23:00:00.000000,17628,21038
2025-01-03,2025-01-04 00:00:00.000000,16694,20103
2025-01-04,2025-01-04 01:00:00.000000,16096,19548
2025-01-04,2025-01-04 02:00:00.000000,15653,19043
2025-01-04,2025-01-04 03:00:00.000000,15450,18998
